Real	Imag	frequency
		frequency [kHz]
-648,000	-798,000	411,000
-769,000	-461,000	412,000
-348,000	-665,000	413,000
-1737,000	-154,000	414,000
-2356,000	1262,000	415,000
-1530,000	2404,000	416,000
-49,000	916,000	417,000
1255,000	2238,000	418,000
5,000	1209,000	419,000
-2328,000	1252,000	420,000
-4422,000	2878,000	421,000
-1257,000	3712,000	422,000
-336,000	723,000	423,000
-908,000	1591,000	424,000
2136,000	-606,000	425,000
-655,000	-119,000	426,000
-147,000	1900,000	427,000
-2860,000	-167,000	428,000
763,000	-705,000	429,000
1882,000	-1920,000	430,000
2270,000	-1152,000	431,000
1195,000	-3697,000	432,000
-1109,000	-3748,000	433,000
321,000	-625,000	434,000
-650,000	2375,000	435,000
-3028,000	384,000	436,000
-2534,000	1988,000	437,000
1254,000	-2365,000	438,000
-1904,000	169,000	439,000
859,000	2556,000	440,000
-266,000	-658,000	441,000
1232,000	-146,000	442,000
3287,000	1103,000	443,000
2011,000	1924,000	444,000
-676,000	3640,000	445,000
-356,000	1372,000	446,000
-643,000	-2989,000	447,000
-676,000	-2382,000	448,000
-1419,000	-659,000	449,000
416,000	3229,000	450,000
1440,000	3721,000	451,000
2126,000	1531,000	452,000
-1100,000	3829,000	453,000
255,000	918,000	454,000
-3746,000	-1495,000	455,000
-1747,000	-515,000	456,000
-768,000	-1128,000	457,000
-21,000	-690,000	458,000
453,000	-359,000	459,000
1900,000	-2191,000	460,000
2637,000	-258,000	461,000
1468,000	-1581,000	462,000
-485,000	838,000	463,000
-2459,000	-2504,000	464,000
1114,000	1232,000	465,000
1602,000	-1234,000	466,000
1063,000	-1139,000	467,000
1731,000	1792,000	468,000
2956,000	-400,000	469,000
1153,000	169,000	470,000
2972,000	-1263,000	471,000
1516,000	1054,000	472,000
265,000	-3231,000	473,000
504,000	-3893,000	474,000
-2784,000	-2690,000	475,000
-868,000	3952,000	476,000
1003,000	1151,000	477,000
2535,000	594,000	478,000
-560,000	3260,000	479,000
-513,000	2047,000	480,000
792,000	-193,000	481,000
-2019,000	-2118,000	482,000
269,000	333,000	483,000
490,000	886,000	484,000
-1598,000	-399,000	485,000
-2047,000	-447,000	486,000
-264,000	1638,000	487,000
-945,000	-150,000	488,000
2923,000	-1705,000	489,000
708,000	970,000	490,000
-3858,000	761,000	491,000
-2371,000	199,000	492,000
-1820,000	3403,000	493,000
-2344,000	47,000	494,000
74,000	290,000	495,000
